"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(i_gaze_at;inf_smile;m_gaze_at)","(i_gaze_at;inf_smile;m_gaze_at)",999.0,999.0,999.0,3
"(inf_smile;mo_smile;m_gaze_away)","(inf_smile;mo_smile;m_gaze_away)",999.0,999.0,999.0,4
"(i_gaze_away;mother-speech;inf_smile;infant_voc)","(i_gaze_away;mother-speech;inf_smile;infant_voc)",999.0,999.0,999.0,1
"(m_gaze_away;mother-speech)","(m_gaze_away;mother-speech)",999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;m_gaze_at;mo_smile)","(i_gaze_at;inf_smile;m_gaze_at;mo_smile)",999.0,999.0,999.0,4
"(mo_smile;i_gaze_away)","(mo_smile;i_gaze_away)",0.90625,0.515625,0.953125,64
"(m_gaze_at;i_gaze_at;mo_smile;infant_voc)","(m_gaze_at;i_gaze_at;mo_smile;infant_voc)",999.0,999.0,999.0,6
"(mother-speech;i_gaze_at;inf_smile)","(mother-speech;i_gaze_at;inf_smile)",0.0,1.0,0.0,23
"(mo_smile;m_gaze_away)","(mo_smile;m_gaze_away)",999.0,999.0,999.0,3
"(mo_smile;i_gaze_at_object;m_gaze_at;infant_voc)","(mo_smile;i_gaze_at_object;m_gaze_at;infant_voc)",999.0,999.0,999.0,2
"(infant_voc;mo_smile;inf_smile;i_gaze_away)","(infant_voc;mo_smile;inf_smile;i_gaze_away)",999.0,999.0,999.0,1
"(mo_smile;i_gaze_at;mother-speech;inf_smile)","(mo_smile;i_gaze_at;mother-speech;inf_smile)",999.0,999.0,999.0,2
"(inf_smile;i_gaze_at_object;infant_voc)","(inf_smile;i_gaze_at_object;infant_voc)",999.0,999.0,999.0,2
"(mo_smile;inf_smile;m_gaze_away)","(mo_smile;inf_smile;m_gaze_away)",999.0,999.0,999.0,3
"(m_gaze_at;inf_smile;mother-speech;i_gaze_at)","(m_gaze_at;inf_smile;mother-speech;i_gaze_at)",999.0,999.0,999.0,1
"(mother-speech;mo_smile;m_gaze_away)","(mother-speech;mo_smile;m_gaze_away)",999.0,999.0,999.0,1
"(mother-speech;mo_smile;inf_smile)","(mother-speech;mo_smile;inf_smile)",999.0,999.0,999.0,3
"(inf_smile;i_gaze_away)","(inf_smile;i_gaze_away)",999.0,999.0,999.0,1
"(mother-speech;inf_smile;m_gaze_at;i_gaze_at)","(mother-speech;inf_smile;m_gaze_at;i_gaze_at)",999.0,999.0,999.0,1
"(m_gaze_at;mo_smile;i_gaze_at;infant_voc)","(m_gaze_at;mo_smile;i_gaze_at;infant_voc)",999.0,999.0,999.0,7
"(mother-speech)","(mother-speech)",999.0,999.0,999.0,1
"(inf_smile;i_gaze_at;m_gaze_away)","(inf_smile;i_gaze_at;m_gaze_away)",999.0,999.0,999.0,29
"(mo_smile;mother-speech;i_gaze_away;inf_smile;m_gaze_away)","(mo_smile;mother-speech;i_gaze_away;inf_smile;m_gaze_away)",999.0,999.0,999.0,1
"(m_gaze_at)","(m_gaze_at)",999.0,999.0,999.0,1
"(m_gaze_away;i_gaze_away)","(m_gaze_away;i_gaze_away)",999.0,999.0,999.0,2
"(i_gaze_away;inf_smile)","(i_gaze_away;inf_smile)",999.0,999.0,999.0,7
"(mother-speech)","(mother-speech)",0.0,0.64,0.0,100
"(mother-speech;inf_smile;m_gaze_at_object)","(mother-speech;inf_smile;m_gaze_at_object)",999.0,999.0,999.0,28
"(infant_voc;m_gaze_at_object)","(infant_voc;m_gaze_at_object)",999.0,999.0,999.0,3
"(mo_smile;inf_smile;m_gaze_at)","(mo_smile;inf_smile;m_gaze_at)",999.0,999.0,999.0,10
"(i_gaze_at_object)","(i_gaze_at_object)",999.0,999.0,999.0,74
"(infant_voc;mo_smile;m_gaze_at_object)","(infant_voc;mo_smile;m_gaze_at_object)",999.0,999.0,999.0,1
"(i_gaze_at_object;m_gaze_at_object;inf_smile;infant_voc)","(i_gaze_at_object;m_gaze_at_object;inf_smile;infant_voc)",999.0,999.0,999.0,1
