"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(inf_smile;infant_voc;m_gaze_away;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;infant_voc)","(m_gaze_at;mother-speech)",0.111,7,8.71,0.5,0.3333333333333333,0.0,6
"(inf_smile;m_gaze_at;mo_smile)","(i_gaze_at)",0.471,12,165.497,0.0,0.34,0.0,100
"(inf_smile;m_gaze_at_object;mother-speech)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,49
"(infant_voc;m_gaze_away)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(m_gaze_away;mother-speech)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,7
"(i_gaze_at;inf_smile;m_gaze_at;mo_smile)","(mother-speech)",0.264,44,65.196,0.09,0.01,0.0,100
"(m_gaze_at;mother-speech)","(inf_smile)",0.142,49,142.143,0.25252525252525254,0.010101010101010102,0.010101010101010102,99
"(mo_smile)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,88
"(inf_smile;m_gaze_away;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,9
"(inf_smile;m_gaze_away;mother-speech)","(i_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;mo_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.154,73,78.431,0.0,0.02564102564102564,0.0,39
"(i_gaze_at_object;infant_voc;m_gaze_at;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,15
"(i_gaze_away;m_gaze_at_object)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,10
"(i_gaze_at;infant_voc;m_gaze_at_object)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,15
"(i_gaze_at_object;inf_smile;infant_voc;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,3
"(inf_smile;infant_voc;mother-speech)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,3
"(i_gaze_at_object;infant_voc;m_gaze_at_object;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;inf_smile;m_gaze_away)","(infant_voc;mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;mother-speech)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,88
"(i_gaze_away;inf_smile)","(mo_smile;mother-speech)",0.101,21,16.052,1.0,0.5614035087719298,0.8771929824561403,57
"(inf_smile;m_gaze_at;mother-speech)","(i_gaze_at;mo_smile)",0.142,7,46.778,999.0,999.0,999.0,0
"(m_gaze_at)","(i_gaze_at;mo_smile;mother-speech)",0.139,337,296.429,999.0,999.0,999.0,1
"(i_gaze_away;inf_smile;m_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,41
"(mother-speech)","(mo_smile)",0.194,61,307.697,0.08,0.55,0.07,100
"(i_gaze_away;inf_smile;m_gaze_at_object;mo_smile)","(infant_voc;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;m_gaze_at_object;mo_smile)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,7
"(inf_smile)","(mother-speech)",0.365,319,409.52,0.46,0.69,0.42,100
"(i_gaze_away;inf_smile)","(mother-speech)",0.231,39,36.449,0.86,0.33,0.68,100
